row_id,client/ip,datetime,method,request,status_code,size_in_KB,user_agent,referer_present(Y/N)
0,54.36.149.41,2019-01-22T03:56:14.000Z,GET,/filter/271320D985DAAFD8A7D9BEDB8CDAA9D8B3D98427DAA9D985D8AAD8B120D8A7D8B220520D985DAAFD8A7D9BEDB8CDAA9D8B3D984p53,200,29.86,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
1,31.56.96.51,2019-01-22T03:56:16.000Z,GET,/image/60844/productModel/200x200,200,5.53,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
2,31.56.96.51,2019-01-22T03:56:16.000Z,GET,/image/61474/productModel/200x200,200,5.25,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
3,40.77.167.129,2019-01-22T03:56:17.000Z,GET,/image/14925/productModel/100x100,200,1.66,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
4,91.99.72.15,2019-01-22T03:56:17.000Z,GET,/product/31893/62100/D8B3D8B4D988D8A7D8B1D8AED8A7D986DAAFDB8CD9BED8B1D986D8B3D984DB8CD985D8AFD984PR257AT,200,40.51,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,N
5,40.77.167.129,2019-01-22T03:56:17.000Z,GET,/image/23488/productModel/150x150,200,2.59,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
6,40.77.167.129,2019-01-22T03:56:18.000Z,GET,/image/45437/productModel/150x150,200,3.6,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
7,40.77.167.129,2019-01-22T03:56:18.000Z,GET,/image/576/article/100x100,200,14.43,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
8,66.249.66.194,2019-01-22T03:56:18.000Z,GET,/filter/b41b665c1507CD8A8D8AED8A7D8B1D9BED8B2p56,200,33.47,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
9,40.77.167.129,2019-01-22T03:56:18.000Z,GET,/image/57710/productModel/100x100,200,1.66,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
